epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7872.24,1.06346,1.37637,1.39923,0.33338,0.33191,0.2555,0.15604,1.33567,2.01803,1.62016,8.218e-05,8.218e-05,8.218e-05
74,7979.88,1.04417,1.3574,1.39829,0.33707,0.33191,0.26184,0.16599,1.34314,2.03364,1.63116,8.19325e-05,8.19325e-05,8.19325e-05
75,8087.33,1.05337,1.31591,1.38824,0.26463,0.35373,0.23596,0.15414,1.2903,2.05033,1.59806,8.1685e-05,8.1685e-05,8.1685e-05
76,8194.57,1.05142,1.31972,1.38563,0.27988,0.35745,0.2557,0.16092,1.34432,2.10867,1.6377,8.14375e-05,8.14375e-05,8.14375e-05
77,8302.37,1.01881,1.2932,1.37083,0.31235,0.34894,0.26693,0.16364,1.27967,2.00983,1.60669,8.119e-05,8.119e-05,8.119e-05
78,8410,1.0392,1.32569,1.38075,0.26806,0.41702,0.26843,0.16317,1.33391,1.98018,1.66894,8.09425e-05,8.09425e-05,8.09425e-05
79,8517.46,1.01168,1.26524,1.37071,0.30037,0.37872,0.26148,0.15638,1.36316,2.08212,1.66414,8.0695e-05,8.0695e-05,8.0695e-05
80,8625.25,0.99781,1.25171,1.33866,0.32724,0.34567,0.25657,0.17164,1.27113,2.02047,1.6311,8.04475e-05,8.04475e-05,8.04475e-05
81,8733.21,0.99809,1.24398,1.34908,0.32157,0.41753,0.3026,0.19674,1.32279,1.86729,1.64131,8.02e-05,8.02e-05,8.02e-05
82,8841.57,1.01475,1.25891,1.36033,0.28931,0.35319,0.25832,0.15277,1.29013,2.06054,1.6227,7.99525e-05,7.99525e-05,7.99525e-05
83,8949.31,0.99312,1.2181,1.34642,0.36103,0.35319,0.26761,0.16838,1.33103,1.9547,1.65378,7.9705e-05,7.9705e-05,7.9705e-05
84,9057.47,0.99854,1.235,1.33142,0.29015,0.35319,0.25205,0.1604,1.3181,2.09975,1.64094,7.94575e-05,7.94575e-05,7.94575e-05
85,9165.39,0.99569,1.23056,1.347,0.27581,0.39574,0.2723,0.16815,1.33585,2.05898,1.61939,7.921e-05,7.921e-05,7.921e-05
86,9272.84,0.99163,1.21997,1.34342,0.32386,0.37911,0.26268,0.16209,1.35985,2.07471,1.66584,7.89625e-05,7.89625e-05,7.89625e-05
87,9380.66,0.98046,1.17514,1.33665,0.35815,0.28936,0.23652,0.14886,1.36353,2.18232,1.64287,7.8715e-05,7.8715e-05,7.8715e-05
88,9488.16,0.98732,1.18243,1.33787,0.33697,0.37415,0.26922,0.16754,1.32939,2.04417,1.63177,7.84675e-05,7.84675e-05,7.84675e-05
89,9595.18,0.9499,1.13983,1.31069,0.27229,0.38723,0.27049,0.16656,1.32998,2.01225,1.64456,7.822e-05,7.822e-05,7.822e-05
90,9702.41,0.97871,1.15497,1.32597,0.31316,0.35745,0.26189,0.16706,1.33572,2.11055,1.63396,7.79725e-05,7.79725e-05,7.79725e-05
91,9810.04,0.97554,1.15617,1.31225,0.33093,0.31915,0.24932,0.16124,1.30468,2.15369,1.61667,7.7725e-05,7.7725e-05,7.7725e-05
92,9917.28,0.96279,1.1609,1.31902,0.30587,0.37447,0.26627,0.17719,1.33195,2.1223,1.62195,7.74775e-05,7.74775e-05,7.74775e-05
93,10024.7,0.94818,1.10907,1.30911,0.32486,0.33191,0.25803,0.16501,1.29664,2.0725,1.61115,7.723e-05,7.723e-05,7.723e-05
94,10132.2,0.94961,1.12031,1.29521,0.31535,0.28813,0.24908,0.16499,1.31568,2.15327,1.599,7.69825e-05,7.69825e-05,7.69825e-05
95,10239.7,0.96553,1.12455,1.31504,0.31942,0.33617,0.2757,0.17072,1.33701,2.10132,1.6359,7.6735e-05,7.6735e-05,7.6735e-05
96,10346.9,0.94937,1.10616,1.29843,0.33078,0.34894,0.2667,0.17448,1.34118,2.16961,1.6343,7.64875e-05,7.64875e-05,7.64875e-05
97,10454.7,0.93147,1.09314,1.29442,0.26345,0.43404,0.26788,0.17217,1.34321,2.03696,1.63764,7.624e-05,7.624e-05,7.624e-05
98,10562.2,0.93236,1.09727,1.29035,0.34513,0.36596,0.30232,0.19526,1.35563,2.03592,1.64631,7.59925e-05,7.59925e-05,7.59925e-05
99,10669.5,0.92477,1.06067,1.28011,0.32115,0.34894,0.25075,0.16149,1.31281,2.18572,1.58398,7.5745e-05,7.5745e-05,7.5745e-05
100,10776.9,0.9162,1.0423,1.27312,0.34733,0.29787,0.23695,0.15366,1.35679,2.19211,1.6401,7.54975e-05,7.54975e-05,7.54975e-05
101,10884.2,0.93273,1.03919,1.28277,0.34542,0.41702,0.29975,0.18712,1.36497,2.07247,1.68561,7.525e-05,7.525e-05,7.525e-05
102,10991.7,0.93325,1.05806,1.29596,0.35225,0.3617,0.27796,0.17145,1.31863,2.07718,1.64142,7.50025e-05,7.50025e-05,7.50025e-05
103,11099.1,0.90249,0.99945,1.26477,0.40868,0.30638,0.29899,0.1914,1.36863,2.01225,1.66628,7.4755e-05,7.4755e-05,7.4755e-05
104,11206.2,0.91466,1.02594,1.27333,0.35678,0.38723,0.25672,0.15997,1.3941,2.05628,1.68817,7.45075e-05,7.45075e-05,7.45075e-05
105,11313.2,0.89772,0.99176,1.25799,0.30678,0.41277,0.28395,0.17118,1.37312,2.0718,1.65057,7.426e-05,7.426e-05,7.426e-05
106,11420.3,0.88926,1.00051,1.25891,0.35423,0.31064,0.26385,0.15854,1.39353,2.14488,1.68536,7.40125e-05,7.40125e-05,7.40125e-05
107,11528,0.89981,0.99001,1.26469,0.3341,0.41419,0.30059,0.18658,1.40043,2.06361,1.69636,7.3765e-05,7.3765e-05,7.3765e-05
108,11635.5,0.89881,0.99165,1.25658,0.31545,0.40851,0.28401,0.16832,1.3943,2.12077,1.69568,7.35175e-05,7.35175e-05,7.35175e-05
109,11742.8,0.89831,0.97636,1.25104,0.33786,0.35745,0.29018,0.17697,1.38539,2.12203,1.68774,7.327e-05,7.327e-05,7.327e-05
110,11850,0.88839,0.97437,1.24714,0.30124,0.37447,0.2692,0.16146,1.44093,2.18147,1.74285,7.30225e-05,7.30225e-05,7.30225e-05
111,11958,0.87972,0.96803,1.24496,0.3342,0.3234,0.27923,0.17217,1.40247,2.19615,1.73249,7.2775e-05,7.2775e-05,7.2775e-05
112,12065.5,0.87868,0.94288,1.22438,0.35386,0.32393,0.28479,0.17468,1.40162,2.14349,1.68642,7.25275e-05,7.25275e-05,7.25275e-05
113,12172.7,0.86162,0.91624,1.22559,0.37417,0.31064,0.27618,0.16531,1.42364,2.15951,1.72052,7.228e-05,7.228e-05,7.228e-05
114,12280.2,0.87925,0.94386,1.24295,0.32671,0.36596,0.2744,0.17049,1.37018,2.13155,1.65418,7.20325e-05,7.20325e-05,7.20325e-05
115,12387.8,0.86318,0.96277,1.2291,0.32532,0.3234,0.26197,0.15671,1.35816,2.18889,1.6767,7.1785e-05,7.1785e-05,7.1785e-05
116,12494.9,0.87759,0.92601,1.24099,0.34892,0.30213,0.27742,0.16932,1.4242,2.2722,1.70068,7.15375e-05,7.15375e-05,7.15375e-05
117,12602.4,0.85785,0.91684,1.22615,0.31561,0.30213,0.24249,0.15007,1.38125,2.27561,1.65516,7.129e-05,7.129e-05,7.129e-05
118,12710,0.87322,0.93263,1.23167,0.30945,0.35745,0.28461,0.17462,1.37432,2.16321,1.68226,7.10425e-05,7.10425e-05,7.10425e-05
119,12817.3,0.86411,0.90062,1.21303,0.3293,0.36354,0.28255,0.16895,1.40618,2.2009,1.70157,7.0795e-05,7.0795e-05,7.0795e-05
120,12925,0.85568,0.89143,1.22101,0.38283,0.29362,0.26632,0.1595,1.40678,2.26954,1.71233,7.05475e-05,7.05475e-05,7.05475e-05
121,13032.9,0.84642,0.89674,1.2048,0.3651,0.31064,0.26703,0.1637,1.42544,2.28532,1.7064,7.03e-05,7.03e-05,7.03e-05
122,13140.8,0.8408,0.88216,1.22068,0.3511,0.29787,0.25511,0.15634,1.38448,2.31486,1.69142,7.00525e-05,7.00525e-05,7.00525e-05
123,13248,0.8484,0.88836,1.2078,0.35994,0.29362,0.24788,0.14785,1.41443,2.27586,1.69217,6.9805e-05,6.9805e-05,6.9805e-05
124,13356.1,0.83441,0.85636,1.20833,0.40628,0.28511,0.27396,0.16594,1.3715,2.23242,1.6777,6.95575e-05,6.95575e-05,6.95575e-05
125,13464.1,0.82186,0.83093,1.1943,0.29505,0.38298,0.26749,0.15814,1.40972,2.25741,1.69366,6.931e-05,6.931e-05,6.931e-05
126,13571.6,0.82578,0.85442,1.20175,0.29985,0.31489,0.26293,0.15331,1.42595,2.32568,1.69636,6.90625e-05,6.90625e-05,6.90625e-05
127,13679.4,0.82029,0.8323,1.18883,0.38641,0.3234,0.27283,0.15827,1.39751,2.22024,1.66657,6.8815e-05,6.8815e-05,6.8815e-05
128,13787.2,0.82937,0.82921,1.19379,0.36682,0.34043,0.28203,0.16618,1.40589,2.20615,1.687,6.85675e-05,6.85675e-05,6.85675e-05
129,13895,0.825,0.81649,1.19707,0.36264,0.3075,0.26745,0.16325,1.40895,2.29464,1.69999,6.832e-05,6.832e-05,6.832e-05
130,14002.6,0.82716,0.82175,1.18247,0.28369,0.34468,0.23454,0.14419,1.40325,2.33446,1.68948,6.80725e-05,6.80725e-05,6.80725e-05
131,14110.6,0.81907,0.8137,1.19131,0.39248,0.29787,0.27568,0.16222,1.42835,2.22563,1.73125,6.7825e-05,6.7825e-05,6.7825e-05
